ID,SMILES
hop_88,C1[C@@H](F)CN(CCC2)[C@]12CO[C@]34CC[C@](CC3)(C[C@H](C4)N(C[C@H]56)C[C@H](N6)CC5)OC(=O)c7cc(O)cc(c78)ccc(F)c8C#C St 2 from O[C@]12CC[C@H](CC1)CCC2
hop_89,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)O[C@H]([C@H]([C@H]3[NH3+])N(C[C@H]45)C[C@H](N5)CC4)[C@]36CC[C@@H](C6)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from O[C@@H]1C[C@@H]([NH3+])C12CCCC2
hop_90,C#Cc1c(F)ccc(c12)cc(O)cc2[C@H](CN(C)C3=O)c4cn(C)c(c4c35)c(cc5N(C[C@H]67)C[C@H](N7)CC6)OC[C@@]89N(C[C@H](F)C8)CCC9 St 1 from c12c3cn(C)c1cccc2C(=O)N(C)CC3
hop_91,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)n3nc(N(C[C@H]45)C[C@H](N5)CC4)c(c36)c(=O)c(c([O-])[nH]6)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from O=c1c(C)c([O-])[nH]c(c12)[nH]nc2
hop_92,C1[C@@H](F)CN(CCC2)[C@]12CO[C@H]3C[C@@H](N(C[C@H]45)C[C@H](N5)CC4)[C@H](O)[C@H]([C@@H]36)C(=O)[C@H](CCC6)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from O[C@H]1CCC[C@H]([C@@H]12)CCCCC2=O
hop_93,C1[C@@H](F)CN(CCC2)[C@]12CO[C@@H](C[C@H](C3)N(C[C@H]45)C[C@H](N5)CC4)[C@H]([C@]36C)C(=O)C[C@@H](C6)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from C1CCC[C@H]([C@]12C)C(=O)CCC2
hop_94,C1[C@@H](F)CN(CCC2)[C@]12CO[C@@H]3[C@H](CN4C)[C@H](C)[C@@](C)([C@@H]([C@@H]34)C(=O)N(C[C@H]56)C[C@H](N6)CC5)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from C[C@H]1C(C)(C)C[C@H](C[C@H]12)N(C)C2
hop_95,C#Cc1c(F)ccc(c12)cc(O)cc2CC([C@H]3S(=O)(=O)CN(C[C@H]45)C[C@H](N5)CC4)=C(C)c(c36)oc(n6)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from CC1=C(C)Cc(c12)nco2
hop_96,C1[C@@H](F)CN(CCC2)[C@]12COc3[nH]c(N(C[C@H]45)C[C@H](N5)CC4)cc3NS(=O)(=O)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from c1cc[nH]c1
hop_97,C1[C@@H](F)CN(CCC2)[C@]12COC[C@H]([C@@]3(C)C(=O)N(C[C@H]45)C[C@H](N5)CC4)ON[C@@H]3Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from C[C@@H]1[C@@H](C)NO[C@@H]1C
hop_98,C1[C@@H](F)CN(CCC2)[C@]12COc3[nH+]c(N(C[C@H]45)C[C@H](N5)CC4)n(c36)c(cs6)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from s1cc(C)n(c12)c[nH+]c2
