ID,SMILES,Kd,IC50,erk_IC50,log_Kd,log_IC50,log_erk_IC50,binding_energy,uncertainty,RMSD,CNNscore,CNNaffinity,CNNvariance
us_434,CCc1cccc2cc(O)cc(-c3ncc4c(nc(OC[C@]56CCCN5[C@@H](COC(=O)N(C)C)CC6)nc4c3F)N3CC4CCC(C3)N4)c12,,0.7,6.7,,-0.35666065832648663,1.9021090189331198,-12.36109,-1.87695,1.74212,0.67996,8.16472,0.09028
us_435,CNC(=O)O[C@@H]1CN2CCC[C@]2(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)C1,,28.2,1822.4,,3.339322332553934,7.507909598180187,-12.46269,-1.24568,0.82829,0.687,7.87759,0.24336
us_436,Fc1c(ncc2c(nc(OC[C@]34CCCN3C[C@H](C4)OC(=O)N3CCOCC3)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,,48.3,3989.5,,3.8774317676978427,8.291421191254916,-13.26439,-1.93497,0.63379,0.67488,7.97086,0.18239
us_437,F[C@H]1CN2CCC[C@@]2(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3CCC(C4CC4)c23)C1,,233.7,,,5.454038284334713,,-13.65078,-0.4942,0.7481,0.71541,8.04945,0.05213
us_438,F[C@H]1CN2CCC[C@@]2(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3C4CC4Cc23)C1,,20.1,1630.8,,3.000720312577344,7.396825977077058,-13.20849,-0.96226,0.55524,0.66419,7.95643,0.26071
us_439,CN(C)C(=O)OC[C@H]1CC[C@@]2(COc3nc(N4CC5CCC(C4)N5)c4cnc(c(F)c4n3)-c3cccc4ccc(F)c(C#C)c34)CCCN12,,0.4,12.8,,-0.9162657321866498,2.549445952175266,-13.00243,-1.66276,0.60341,0.74301,8.28676,0.11426
us_440,CN(C)C(=O)OC[C@H]1CC[C@@]2(COc3nc(N4CC5CCC(C4)N5)c4cnc(c(F)c4n3)-c3cc(O)cc4ccc(F)c(C#C)c34)CCCN12,,0.8,8.4,,-0.2231310513923341,2.1282328963247497,-13.06817,-1.55869,0.57776,0.78222,8.24427,0.0256
us_441,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(nc(OC[C@]56CCCN5[C@@H](COC(=O)N(C)C)CC6)nc4c3F)N3CC4CCC(C3)N4)c12,,0.5,4.1,,-0.6931271807599427,1.4109894127316778,-12.28068,-1.56242,1.7054,0.68767,8.26965,0.17286
us_442,Fc1c(ncc2c(nc(OC[C@]34CCCN3[C@@H](CN3CCOC3=O)CC4)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,,25.0,1162.0,,3.2188762248681204,7.057897946017708,-13.43508,-1.76598,1.23321,0.63343,7.98603,0.13951
us_443,Fc1c(ncc2c(nc(OC[C@]34CCCN3[C@@H](COC(=O)N3CCCC3)CC4)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,,3.2,160.0,,1.163153934800798,5.075173877733825,-11.58729,-1.21064,0.99135,0.55066,8.18426,0.08648
