Index,Example,IUPAC
84,84,N-(3-(1H-pyrazol-3-yl) propyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl) methoxy) pyrido [4. 3-d] pyrimidin-4-amine
85,85,"(3-((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[/l,3-d]pyrimidin-4-yl)amino)bicyclo[1.1.1]pentan-1-yl)methanol"
86,86,"1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)piperidine-3-carboxamide"
87,87,"1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)azepane-4-carbonitrile"
88,88,"5-(((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)-1-methylpyridin-2(1H)-one"
89,89,"(3S,5R)-1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidine-3,5-diol"
90,90,"3-((8-fluoro-7-(8-fluoronaphfhalen-1-yl)-2-((hexahydro-1H-pyrralizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)bicyclo[1.1.1]pentan-1-ol"
91,91,"trans-3-((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)cyclobutane-1-carboxylic acid"
92,92,"N-((7H-pyrrolo[2,3-d]pyrimidin-2-yl)methyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2- ((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine"
93,93,"N-((1H-pyrazol-4-yl)methyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin- 7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine"
94,94,"N-((1H-pyrrolo[2,3-b]pyridin-3-yl)methyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro- 1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine"
95,95,"3-((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)prido[1,3-d]pyrimidin-4-yl)amino)thictanc 1 , 1 -dioxide"
96,96,"5-(((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)pyridin-2(1H)-one"
97,97,"6-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrim idin-4-yl)- 1 ,6-d iazaspiro [3.5] nonan-2-one"
98,98,"6-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-2,6-diazaspiro[3.5]nonan-1-one"
99,99,"8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-N-(l -methyl- 1H-indazol-6-yl)pyrido[4,3-d]pyrimidin-4-amine"
100,100,"8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-N-(1H- indazol-5-yl)pyrido[4,3-d]pyrimidin-4-amine"
101,101,"4-(3-(1H-imidazol-1-yl)azetidin-1-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H- pyrrol izin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine"
102,102,"4-(((7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)inethyl)pyrrolidin-2-one"
